A̱o,Suma_Calificacion,Conteo_Calificaciones,Promedio_Calificacion,Calificacion_Minima,Calificacion_Maxima
1916.0,8.0,1,8.0,8.0,8.0
1920.0,4.8,1,4.8,4.8,4.8
1925.0,8.3,1,8.3,8.3,8.3
1927.0,8.3,1,8.3,8.3,8.3
1929.0,14.3,2,7.15,6.3,8.0
1930.0,7.8,1,7.8,7.8,7.8
1932.0,6.6,1,6.6,6.6,6.6
1933.0,14.2,2,7.1,6.5,7.7
1934.0,8.2,1,8.2,8.2,8.2
1935.0,7.8,1,7.8,7.8,7.8
1936.0,15.7,2,7.85,7.1,8.6
1937.0,15.5,2,7.75,7.7,7.8
1938.0,15.0,2,7.5,7.0,8.0
1939.0,24.5,3,8.166666666666666,8.1,8.2
1940.0,37.099999999999994,5,7.419999999999999,6.5,8.2
1941.0,7.8,1,7.8,7.8,7.8
1942.0,16.0,2,8.0,7.4,8.6
1943.0,7.0,1,7.0,7.0,7.0
1944.0,6.5,1,6.5,6.5,6.5
1945.0,30.2,4,7.55,7.1,8.0
1946.0,23.6,3,7.866666666666667,6.9,8.6
1947.0,21.3,3,7.1000000000000005,6.2,7.7
1948.0,22.0,3,7.333333333333333,7.1,7.8
1949.0,14.600000000000001,2,7.300000000000001,7.2,7.4
1950.0,7.0,1,7.0,7.0,7.0
1951.0,22.2,3,7.3999999999999995,7.0,8.0
1952.0,30.3,4,7.575,6.7,8.3
1953.0,28.4,4,7.1,6.7,7.8
1954.0,37.9,5,7.58,6.6,8.7
1955.0,15.3,2,7.65,7.2,8.1
1956.0,20.4,3,6.8,6.2,7.4
1957.0,17.1,2,8.55,8.2,8.9
1958.0,8.1,1,8.1,8.1,8.1
1959.0,22.1,3,7.366666666666667,6.2,8.3
1960.0,24.700000000000003,3,8.233333333333334,7.9,8.5
1961.0,38.6,5,7.720000000000001,7.3,8.3
1962.0,59.5,8,7.4375,4.1,8.4
1963.0,58.8,8,7.35,6.8,8.3
1964.0,77.8,10,7.779999999999999,6.7,8.5
1965.0,59.8,8,7.475,6.6,8.4
1966.0,44.0,6,7.333333333333333,6.5,8.9
1967.0,28.3,4,7.075,6.0,8.0
1968.0,81.1,11,7.372727272727272,5.5,8.6
1969.0,68.2,10,6.82,4.0,8.1
1970.0,85.5,12,7.125,6.1,8.1
1971.0,77.7,11,7.0636363636363635,5.5,8.0
1972.0,66.3,9,7.366666666666666,6.1,9.2
1973.0,65.8,9,7.311111111111111,5.5,8.3
1974.0,67.9,9,7.544444444444445,6.1,9.0
1975.0,46.4,6,7.733333333333333,6.2,8.7
1976.0,73.9,10,7.390000000000001,6.6,8.3
1977.0,109.3,16,6.83125,3.7,8.7
1978.0,111.4,16,6.9625,4.1,8.2
1979.0,109.0,16,6.8125,4.9,8.5
1980.0,167.2,24,6.966666666666666,3.4,8.8
1981.0,213.5,33,6.46969696969697,2.7,8.5
1982.0,203.1,30,6.77,3.5,8.2
1983.0,146.9,22,6.677272727272728,4.0,8.4
1984.0,209.70000000000002,31,6.764516129032258,4.8,8.4
1985.0,193.6,29,6.675862068965517,4.3,8.5
1986.0,166.4,26,6.4,3.0,8.4
1987.0,205.2,32,6.4125,2.8,8.1
1988.0,204.7,31,6.603225806451612,4.5,8.2
1989.0,224.0,33,6.787878787878788,4.5,8.3
1990.0,203.7,30,6.79,4.5,8.7
1991.0,201.3,31,6.493548387096775,3.8,8.6
1992.0,235.4,34,6.923529411764706,5.4,8.4
1993.0,322.9,48,6.727083333333333,3.9,8.9
1994.0,356.2,54,6.596296296296296,3.3,9.3
1995.0,459.6,70,6.565714285714286,4.5,8.6
1996.0,635.4,99,6.418181818181818,4.3,8.2
1997.0,765.3,118,6.485593220338982,2.8,8.5
1998.0,869.1,134,6.485820895522388,2.3,8.6
1999.0,1076.4,168,6.4071428571428575,2.5,8.8
2000.0,1067.7,171,6.2438596491228076,2.4,8.5
2001.0,1185.4,188,6.305319148936171,2.1,8.8
2002.0,1319.2,209,6.311961722488038,3.0,8.7
2003.0,1062.3,169,6.285798816568047,2.1,8.9
2004.0,1383.3,214,6.464018691588785,1.9,8.3
2005.0,1404.7,221,6.356108597285068,1.9,8.3
2006.0,1535.1,239,6.4230125523012545,2.1,8.5
2007.0,1328.1,204,6.510294117647058,2.0,8.4
2008.0,1422.7,225,6.323111111111111,1.9,9.0
2009.0,1638.9,260,6.303461538461539,2.7,8.3
2010.0,1441.0,230,6.265217391304348,2.7,8.8
2011.0,1409.0,225,6.262222222222222,1.6,8.5
2012.0,1384.9,221,6.266515837104073,1.7,8.5
2013.0,1509.6,237,6.369620253164556,2.6,8.4
2014.0,1569.5,252,6.228174603174603,2.0,8.7
2015.0,1363.6,226,6.0336283185840704,2.2,8.6
2016.0,678.3,106,6.399056603773585,3.4,9.1
