A̱o,Suma_Ganancias,Conteo_Ganancias,Promedio_Ganancias,Ganancia_Minima,Ganancia_Maxima
1916.0,0.0,0,,,
1920.0,3000000.0,1,3000000.0,3000000.0,3000000.0
1925.0,0.0,0,,,
1927.0,26435.0,1,26435.0,26435.0,26435.0
1929.0,2817950.0,2,1408975.0,9950.0,2808000.0
1930.0,0.0,0,,,
1932.0,0.0,0,,,
1933.0,2300000.0,1,2300000.0,2300000.0,2300000.0
1934.0,0.0,0,,,
1935.0,3000000.0,1,3000000.0,3000000.0,3000000.0
1936.0,163245.0,1,163245.0,163245.0,163245.0
1937.0,184925485.0,1,184925485.0,184925485.0,184925485.0
1938.0,0.0,0,,,
1939.0,220857890.0,2,110428945.0,22202612.0,198655278.0
1940.0,160700000.0,2,80350000.0,76400000.0,84300000.0
1941.0,0.0,0,,,
1942.0,102797150.0,1,102797150.0,102797150.0,102797150.0
1943.0,0.0,0,,,
1944.0,0.0,0,,,
1945.0,0.0,0,,,
1946.0,44050000.0,2,22025000.0,20400000.0,23650000.0
1947.0,7927.0,1,7927.0,7927.0,7927.0
1948.0,2956000.0,1,2956000.0,2956000.0,2956000.0
1949.0,0.0,0,,,
1950.0,8000000.0,1,8000000.0,8000000.0,8000000.0
1951.0,0.0,0,,,
1952.0,36000000.0,1,36000000.0,36000000.0,36000000.0
1953.0,41000000.0,2,20500000.0,5000000.0,36000000.0
1954.0,9869061.0,2,4934530.5,269061.0,9600000.0
1955.0,0.0,0,,,
1956.0,0.0,0,,,
1957.0,27200000.0,1,27200000.0,27200000.0,27200000.0
1958.0,0.0,0,,,
1959.0,25000000.0,1,25000000.0,25000000.0,25000000.0
1960.0,32000000.0,1,32000000.0,32000000.0,32000000.0
1961.0,43650000.0,1,43650000.0,43650000.0,43650000.0
1962.0,22067035.0,2,11033517.5,6000000.0,16067035.0
1963.0,128850000.0,3,42950000.0,24800000.0,57750000.0
1964.0,229427443.0,6,38237907.166666664,12438.0,102300000.0
1965.0,346551159.0,5,69310231.8,14873.0,163214286.0
1966.0,6100000.0,1,6100000.0,6100000.0,6100000.0
1967.0,43100000.0,1,43100000.0,43100000.0,43100000.0
1968.0,73515371.0,2,36757685.5,16800000.0,56715371.0
1969.0,125135793.0,3,41711931.0,26893.0,102308900.0
1970.0,41800000.0,4,10450000.0,5000000.0,14500000.0
1971.0,108988231.0,4,27247057.75,8231.0,50000000.0
1972.0,135002435.0,2,67501217.5,180483.0,134821952.0
1973.0,514597645.0,5,102919529.0,32645.0,204565000.0
1974.0,385370600.0,7,55052942.85714286,21000000.0,119500000.0
1975.0,373229197.0,3,124409732.33333333,1229197.0,260000000.0
1976.0,142235247.0,2,71117623.5,25000000.0,117235247.0
1977.0,744035665.0,7,106290809.28571428,1000000.0,460935665.0
1978.0,715422346.0,10,71542234.6,321952.0,181360000.0
1979.0,445057000.0,7,63579571.428571425,29200000.0,82300000.0
1980.0,865459001.0,15,57697266.733333334,45250.0,290158751.0
1981.0,704833286.0,17,41460781.52941176,126387.0,242374454.0
1982.0,1200600835.0,16,75037552.1875,5333658.0,434949459.0
1983.0,982693409.0,14,70192386.35714285,12200000.0,309125409.0
1984.0,1447610771.0,23,62939598.73913044,5100000.0,234760500.0
1985.0,888347012.0,15,59223134.13333333,4250320.0,210609762.0
1986.0,1110911601.0,25,44436464.04,1953732.0,176781728.0
1987.0,1247231208.0,31,40233264.77419355,354704.0,167780960.0
1988.0,1235710555.0,30,41190351.833333336,439162.0,172825435.0
1989.0,1639388954.0,33,49678453.15151515,792966.0,251188924.0
1990.0,2189711195.0,28,78203971.25,333658.0,285761243.0
1991.0,1615335050.0,30,53844501.666666664,869325.0,204843350.0
1992.0,2164616635.0,34,63665195.14705882,1100000.0,217350219.0
1993.0,2083896205.0,46,45302091.41304348,48856.0,356784000.0
1994.0,3147970307.0,53,59395666.16981132,125169.0,422783777.0
1995.0,3098756879.0,69,44909519.98550725,529766.0,191796233.0
1996.0,3994196554.0,95,42044174.25263158,22434.0,306124059.0
1997.0,5196077602.0,116,44793772.43103448,5494.0,658672302.0
1998.0,4950634027.0,129,38377007.96124031,10508.0,216119491.0
1999.0,6319981262.0,166,38072176.27710843,7680.0,474544677.0
2000.0,7042828806.0,167,42172627.58083832,5725.0,260031035.0
2001.0,8132074782.0,188,43255716.92553192,703.0,317557891.0
2002.0,8702230297.0,200,43511151.485,13134.0,403706375.0
2003.0,7747711729.0,159,48727746.72327044,2580.0,380838870.0
2004.0,8145305822.0,200,40726529.11,5199.0,436471036.0
2005.0,8355306088.0,203,41159143.29064039,12667.0,380262555.0
2006.0,8475376886.0,216,39237855.9537037,721.0,423032628.0
2007.0,8281882683.0,179,46267501.02234637,5561.0,336530303.0
2008.0,8959275385.0,201,44573509.378109455,3478.0,533316061.0
2009.0,9934599643.0,215,46207440.2,828.0,760505847.0
2010.0,9931756876.0,199,49908326.01005025,12561.0,414984497.0
2011.0,8745094799.0,191,45785836.64397906,2245.0,352358779.0
2012.0,11380108510.0,181,62873527.67955801,1332.0,623279547.0
2013.0,10501612904.0,187,56158357.77540107,2843.0,424645577.0
2014.0,10422826870.0,167,62412136.94610778,162.0,350123553.0
2015.0,9513928206.0,143,66530966.47552448,1711.0,652177271.0
2016.0,5692378656.0,74,76924035.8918919,31662.0,407197282.0
